method,variant,query_mode,min_collisions,fixed_query_radius,annulus_count,delta,radius_factor,bandwidth_factor,point_precision,point_recall,point_f1,point_fp_ratio,point_fn_ratio,kernel_weighted_recall,kernel_weighted_fp_ratio,kernel_weighted_fn_ratio,signed_kde_bias,kde_abs_relative_error,candidate_expansion_ratio,candidate_size,kde_sample_size,query_time_ms,filter_time_ms,kde_time_ms,build_time_s,raw_hash_size,outer_prefilter_size,inner_prefilter_size,outer_hash_size,inner_hash_size,ring_count,mean_ring_size,max_ring_size,dataset,total_sample_budget,allocation_mode,schedule_base,strict_total_sample_budget,norm_percentile,delta_divisions,norm_quantile,delta_factor_equiv,base_radius,L,K,radius_percentile,hamming_probe,wall_time_s,kde_quality,speed_quality,score_kde,feasible,baseline_kde_error,baseline_query_time_ms,error_ratio_vs_baseline,time_ratio_vs_baseline,sample_ratio_vs_baseline
MECH,full,radius_first,2,40.74413890838623,2,8.434290091196695,1.0,0.25,0.6422151650101577,1.0,0.7575837680480684,2.887286348724149,0.0,1.0,0.036769268147504454,0.0,0.02373881040396617,0.11934106987536594,3.8872863487241487,1780.0,500.0,2.135271875000022,0.6466665250002279,1.4802365500003134,0.1047615409999949,1800.0,1780.0,1573.975,1780.0,1573.975,2.0,890.0,1573.975,cifar10,500,pilot_neyman_total_budget,1000,True,25,12,101.21148109436035,0.2561324560001254,32.929407787323,12,5,70,2,0.644986166999999,0.880658930124634,0.30747050131023423,0.8287470269067824,True,0.11934106987536594,2.135271875000022,1.0,1.0,1.0
MECH,full,radius_first,2,40.74413890838623,4,8.434290091196695,1.0,0.25,0.6422151650101577,1.0,0.7575837680480684,2.887286348724149,0.0,1.0,0.036769268147504454,0.0,-0.07137534121931195,0.17404671461705484,3.8872863487241487,1780.0,248.3,1.8137031999994946,0.8387593750001088,0.9681520749994732,0.1047615409999949,1800.0,1780.0,1723.55,1780.0,1723.55,4.0,445.0,1242.45,cifar10,250,pilot_neyman_total_budget,1000,True,25,12,101.21148109436035,0.2561324560001254,32.929407787323,12,5,70,2,0.5466089580000002,0.8259532853829452,0.4117643834616326,0.8090883105139933,True,0.11934106987536594,2.135271875000022,1.4583974720422805,0.8494015311279627,0.5
MECH,full,radius_first,2,40.74413890838623,6,8.434290091196695,1.0,0.25,0.6422151650101577,1.0,0.7575837680480684,2.887286348724149,0.0,1.0,0.036769268147504454,0.0,-0.09757486103601934,0.19660796248501128,3.8872863487241487,1780.0,170.0,1.8864645250010526,1.0273875250007336,0.8550645000001467,0.1047615409999949,1800.0,1780.0,1744.85,1780.0,1744.85,6.0,296.66666666666663,1070.45,cifar10,170,pilot_neyman_total_budget,1000,True,25,12,101.21148109436035,0.2561324560001254,32.929407787323,12,5,70,2,0.5653320839999978,0.8033920375149888,0.3881658129389297,0.794319767134347,True,0.11934106987536594,2.135271875000022,1.647445952096283,0.883477437738945,0.34
MECH,full,radius_first,2,40.74413890838623,8,8.434290091196695,1.0,0.25,0.6422151650101577,1.0,0.7575837680480684,2.887286348724149,0.0,1.0,0.036769268147504454,0.0,-0.12831336479339145,0.2956304084538424,3.8872863487241487,1780.0,120.0,2.0152728750000293,1.2263645750000052,0.7822365499997375,0.1047615409999949,1800.0,1780.0,1749.475,1780.0,1749.475,8.0,222.5,949.525,cifar10,120,pilot_neyman_total_budget,1000,True,25,12,101.21148109436035,0.2561324560001254,32.929407787323,12,5,70,2,0.6010194589999998,0.7043695915461576,0.3463895955418611,0.735679800111783,True,0.11934106987536594,2.135271875000022,2.4771891919737654,0.9438015358114565,0.24
MECH,full,radius_first,2,40.74413890838623,10,8.434290091196695,1.0,0.25,0.6422151650101577,1.0,0.7575837680480684,2.887286348724149,0.0,1.0,0.036769268147504454,0.0,-0.10536958760002291,0.32745150234772946,3.8872863487241487,1780.0,99.975,2.2231363749995126,1.419264600000325,0.7964720250003055,0.1047615409999949,1800.0,1780.0,1761.325,1780.0,1761.325,10.0,178.0,915.025,cifar10,100,pilot_neyman_total_budget,1000,True,25,12,101.21148109436035,0.2561324560001254,32.929407787323,12,5,70,2,0.6578241670000011,0.6725484976522705,0.2789735408764378,0.7114365930036028,True,0.11934106987536594,2.135271875000022,2.743829116746683,1.0411490925479874,0.2
MECH,full,radius_first,2,40.74413890838623,12,8.434290091196695,1.0,0.25,0.6422151650101577,1.0,0.7575837680480684,2.887286348724149,0.0,1.0,0.036769268147504454,0.0,-0.10803240728442454,0.31684907833774517,3.8872863487241487,1780.0,80.0,2.3486551999996053,1.6068509750008175,0.7396468999997907,0.1047615409999949,1800.0,1780.0,1769.65,1780.0,1769.65,12.0,148.33333333333331,904.95,cifar10,80,pilot_neyman_total_budget,1000,True,25,12,101.21148109436035,0.2561324560001254,32.929407787323,12,5,70,2,0.6941849999999974,0.6831509216622549,0.23826421014849863,0.7131969931363004,True,0.11934106987536594,2.135271875000022,2.654987747877969,1.0999326256753983,0.16
MECH,full,radius_first,2,40.74413890838623,14,8.434290091196695,1.0,0.25,0.6422151650101577,1.0,0.7575837680480684,2.887286348724149,0.0,1.0,0.036769268147504454,0.0,-0.2099430305118024,0.35503703422308064,3.8872863487241487,1780.0,70.0,2.531215649999652,1.7952395999998316,0.7278344500004863,0.1047615409999949,1800.0,1780.0,1769.75,1780.0,1769.75,14.0,127.14285714285715,869.775,cifar10,70,pilot_neyman_total_budget,1000,True,25,12,101.21148109436035,0.2561324560001254,32.929407787323,12,5,70,2,0.7438564159999999,0.6449629657769194,0.1790546554312058,0.6862726619276365,True,0.11934106987536594,2.135271875000022,2.974977805996412,1.1854301457511707,0.14
MECH,full,radius_first,2,40.74413890838623,16,8.434290091196695,1.0,0.25,0.6422151650101577,1.0,0.7575837680480684,2.887286348724149,0.0,1.0,0.036769268147504454,0.0,-0.14130155848256645,0.35448452798653757,3.8872863487241487,1780.0,60.0,2.705733250000719,1.977828074999799,0.722405150000327,0.1047615409999949,1800.0,1780.0,1772.6,1780.0,1772.6,16.0,111.25,854.45,cifar10,60,pilot_neyman_total_budget,1000,True,25,12,101.21148109436035,0.2561324560001254,32.929407787323,12,5,70,2,0.7936604170000052,0.6455154720134624,0.12245362609330057,0.6809164374239447,True,0.11934106987536594,2.135271875000022,2.9703481656125934,1.267161002624404,0.12
MECH,full,radius_first,2,40.74413890838623,18,8.434290091196695,1.0,0.25,0.6422151650101577,1.0,0.7575837680480684,2.887286348724149,0.0,1.0,0.036769268147504454,0.0,-0.20317592424615305,0.37921763564233957,3.8872863487241487,1780.0,60.0,2.899278100000302,2.1612468749998115,0.7295854000000546,0.1047615409999949,1800.0,1780.0,1772.6,1780.0,1772.6,18.0,98.88888888888889,825.9,cifar10,60,pilot_neyman_total_budget,1000,True,25,12,101.21148109436035,0.2561324560001254,32.929407787323,12,5,70,2,0.8476312090000064,0.6207823643576604,0.059681517532560235,0.6610360173571795,True,0.11934106987536594,2.135271875000022,3.17759540817236,1.3578027856524229,0.12
MECH,full,radius_first,2,40.74413890838623,20,8.434290091196695,1.0,0.25,0.6422151650101577,1.0,0.7575837680480684,2.887286348724149,0.0,1.0,0.036769268147504454,0.0,-0.08844828026792897,0.3761291849652709,3.8872863487241487,1780.0,50.0,3.0832937499988944,2.3615292250001474,0.720570800000786,0.1047615409999949,1800.0,1780.0,1773.475,1780.0,1773.475,20.0,89.0,806.45,cifar10,50,pilot_neyman_total_budget,1000,True,25,12,101.21148109436035,0.2561324560001254,32.929407787323,12,5,70,2,0.9013622080000019,0.6238708150347291,0.0,0.6567665134763113,True,0.11934106987536594,2.135271875000022,3.1517162143600865,1.4439818114491216,0.1
MECH,full,radius_first,2,7.4883445501327515,2,1.3606189886728923,1.0,0.25,0.676617618685975,0.9012388264977546,0.7228223876145436,33.832132592325124,0.09876117350224534,0.9678326023141606,0.27783060458073755,0.032167392947487966,0.17810163717710198,0.2689102729215538,34.73337141882287,1430.725,499.975,1.5356729499995225,1.028202000000178,0.5012125750003094,0.03197129199999438,1430.825,1795.3,1642.75,1430.725,1357.575,2.0,715.3625,1357.575,cifar10_gist512,500,pilot_neyman_total_budget,1000,True,25,12,16.327427864074707,0.20286022957684713,6.7071746468544005,12,5,70,2,0.47421745799999826,0.7310897270784462,0.5513486065351278,0.7459053339883907,True,0.2689102729215538,1.5356729499995225,1.0,1.0,1.0
MECH,full,radius_first,2,7.4883445501327515,4,1.3606189886728923,1.0,0.25,0.676617618685975,0.9012388264977546,0.7228223876145436,33.832132592325124,0.09876117350224534,0.9678326023141606,0.27783060458073755,0.032167392947487966,0.12470726531585272,0.28704890675596295,34.73337141882287,1430.725,247.225,1.7920209250014807,1.2471104750009232,0.5345365000007263,0.03197129199999438,1430.825,1795.3,1769.85,1430.725,1424.475,4.0,357.68125,1162.2,cifar10_gist512,250,pilot_neyman_total_budget,1000,True,25,12,16.327427864074707,0.20286022957684713,6.7071746468544005,12,5,70,2,0.5334991659999986,0.712951093244037,0.47645578759437457,0.7284398034853903,True,0.2689102729215538,1.5356729499995225,1.0674523648254246,1.166928755893003,0.5
MECH,full,radius_first,2,7.4883445501327515,6,1.3606189886728923,1.0,0.25,0.676617618685975,0.9012388264977546,0.7228223876145436,33.832132592325124,0.09876117350224534,0.9678326023141606,0.27783060458073755,0.032167392947487966,0.08016706260527726,0.2610966661823005,34.73337141882287,1430.725,168.025,2.155629050000485,1.5122394750001433,0.6437749999992803,0.03197129199999438,1430.825,1795.3,1777.75,1430.725,1426.625,6.0,238.4541666666667,936.95,cifar10_gist512,170,pilot_neyman_total_budget,1000,True,25,12,16.327427864074707,0.20286022957684713,6.7071746468544005,12,5,70,2,0.6551072919999967,0.7389033338176996,0.37022659865411,0.7320906169068782,True,0.2689102729215538,1.5356729499995225,0.9709434427537371,1.4037032103750704,0.34
MECH,full,radius_first,2,7.4883445501327515,8,1.3606189886728923,1.0,0.25,0.676617618685975,0.9012388264977546,0.7228223876145436,33.832132592325124,0.09876117350224534,0.9678326023141606,0.27783060458073755,0.032167392947487966,0.011657624000083008,0.21928428208430367,34.73337141882287,1430.725,119.3,2.3527781500003897,1.7038520500001653,0.6410520750002036,0.03197129199999438,1430.825,1795.3,1788.25,1430.725,1429.0,8.0,178.840625,886.525,cifar10_gist512,120,pilot_neyman_total_budget,1000,True,25,12,16.327427864074707,0.20286022957684713,6.7071746468544005,12,5,70,2,0.7397950830000042,0.7807157179156963,0.31262890610158434,0.7493276589055238,True,0.2689102729215538,1.5356729499995225,0.8154552063106679,1.5320828240160909,0.24
MECH,full,radius_first,2,7.4883445501327515,10,1.3606189886728923,1.0,0.25,0.676617618685975,0.9012388264977546,0.7228223876145436,33.832132592325124,0.09876117350224534,0.9678326023141606,0.27783060458073755,0.032167392947487966,0.1134189411638598,0.3495932120091551,34.73337141882287,1430.725,100.0,2.7501708500011546,1.9942220000011444,0.7183615000013077,0.03197129199999438,1430.825,1795.3,1788.6,1430.725,1429.175,10.0,143.07250000000002,856.675,cifar10_gist512,100,pilot_neyman_total_budget,1000,True,25,12,16.327427864074707,0.20286022957684713,6.7071746468544005,12,5,70,2,0.8493330000000014,0.6504067879908448,0.19652945367053998,0.6660478022037511,True,0.2689102729215538,1.5356729499995225,1.3000366561345094,1.7908571287929567,0.2
MECH,full,radius_first,2,7.4883445501327515,12,1.3606189886728923,1.0,0.25,0.676617618685975,0.9012388264977546,0.7228223876145436,33.832132592325124,0.09876117350224534,0.9678326023141606,0.27783060458073755,0.032167392947487966,0.14097286939576664,0.41523790877996875,34.73337141882287,1430.725,80.0,2.713035425000143,2.0727864000004814,0.6339510250001013,0.03197129199999438,1430.825,1795.3,1793.075,1430.725,1430.3,12.0,119.22708333333335,846.0,cifar10_gist512,80,pilot_neyman_total_budget,1000,True,25,12,16.327427864074707,0.20286022957684713,6.7071746468544005,12,5,70,2,0.8029978750000026,0.5847620912200313,0.20737867789736464,0.6310281414024861,True,0.2689102729215538,1.5356729499995225,1.5441504122124092,1.7666752709299116,0.16
MECH,full,radius_first,2,7.4883445501327515,14,1.3606189886728923,1.0,0.25,0.676617618685975,0.9012388264977546,0.7228223876145436,33.832132592325124,0.09876117350224534,0.9678326023141606,0.27783060458073755,0.032167392947487966,0.08122470704948745,0.3790163940183516,34.73337141882287,1430.725,69.95,3.105707274998437,2.3895614000004173,0.6993436999973568,0.03197129199999438,1430.825,1795.3,1793.425,1430.725,1430.475,14.0,102.19464285714285,822.625,cifar10_gist512,70,pilot_neyman_total_budget,1000,True,25,12,16.327427864074707,0.20286022957684713,6.7071746468544005,12,5,70,2,0.9176252500000004,0.6209836059816485,0.0926584357545186,0.639477950307091,True,0.2689102729215538,1.5356729499995225,1.409453011595871,2.0223754511007064,0.14
MECH,full,radius_first,2,7.4883445501327515,16,1.3606189886728923,1.0,0.25,0.676617618685975,0.9012388264977546,0.7228223876145436,33.832132592325124,0.09876117350224534,0.9678326023141606,0.27783060458073755,0.032167392947487966,0.01673297408102755,0.39275070204478396,34.73337141882287,1430.725,60.0,3.19053017499904,2.506698849999367,0.6771134749982366,0.03197129199999438,1430.825,1795.3,1794.775,1430.725,1430.55,16.0,89.4203125,802.425,cifar10_gist512,60,pilot_neyman_total_budget,1000,True,25,12,16.327427864074707,0.20286022957684713,6.7071746468544005,12,5,70,2,0.9388470839999883,0.607249297955216,0.06787717469042698,0.629445954786144,True,0.2689102729215538,1.5356729499995225,1.46052695487523,2.0776104541009413,0.12
MECH,full,radius_first,2,7.4883445501327515,18,1.3606189886728923,1.0,0.25,0.676617618685975,0.9012388264977546,0.7228223876145436,33.832132592325124,0.09876117350224534,0.9678326023141606,0.27783060458073755,0.032167392947487966,0.06113332981000887,0.3853390357279235,34.73337141882287,1430.725,60.0,3.4228645500011368,2.722723950000372,0.6846667249998717,0.03197129199999438,1430.825,1795.3,1794.775,1430.725,1430.55,18.0,79.48472222222222,796.4,cifar10_gist512,60,pilot_neyman_total_budget,1000,True,25,12,16.327427864074707,0.20286022957684713,6.7071746468544005,12,5,70,2,1.0041984580000047,0.6146609642720765,0.0,0.6267346537913745,True,0.2689102729215538,1.5356729499995225,1.4329650985120015,2.228902026308532,0.12
MECH,full,radius_first,2,7.4883445501327515,20,1.3606189886728923,1.0,0.25,0.676617618685975,0.9012388264977546,0.7228223876145436,33.832132592325124,0.09876117350224534,0.9678326023141606,0.27783060458073755,0.032167392947487966,0.12390720979647103,0.4125044126610188,34.73337141882287,1430.725,50.0,3.2349968250002803,2.6381717999996113,0.5951031499996873,0.03197129199999438,1430.825,1795.3,1794.95,1430.725,1430.725,20.0,71.53625000000001,775.025,cifar10_gist512,50,pilot_neyman_total_budget,1000,True,25,12,16.327427864074707,0.20286022957684713,6.7071746468544005,12,5,70,2,0.943804125000014,0.5874955873389812,0.054886111400696214,0.6172823076182418,True,0.2689102729215538,1.5356729499995225,1.533985325957979,2.1065662613913245,0.1
MECH,full,radius_first,2,16.506187152862548,2,3.8147850831349692,1.0,0.25,0.6951883590283849,0.9965171823822153,0.8083581956827143,0.5196459965504294,0.0034828176177846776,0.9997568838883716,0.0015199027155653963,0.0002431155897488282,-0.047071225362356015,0.1339413399180504,1.5161631789326449,1782.225,500.0,1.334310474999878,0.8690342750002245,0.46292912499987793,0.03508529199999977,1782.225,1800.0,1799.85,1782.225,1782.175,2.0,891.1125,1782.175,isolet,500,pilot_neyman_total_budget,1000,True,25,12,45.77742099761963,0.27244757901185,14.00190486907959,12,5,70,2,0.42047320899999896,0.8660586600819495,0.5753122596495003,0.8544206548388726,True,0.1339413399180504,1.334310474999878,1.0,1.0,1.0
MECH,full,radius_first,2,16.506187152862548,4,3.8147850831349692,1.0,0.25,0.6951883590283849,0.9965171823822153,0.8083581956827143,0.5196459965504294,0.0034828176177846776,0.9997568838883716,0.0015199027155653963,0.0002431155897488282,-0.07399529830785183,0.2337629141220754,1.5161631789326449,1782.225,250.0,1.4980446999998343,1.1061677249999846,0.390979074999942,0.03508529199999977,1782.225,1800.0,1800.0,1782.225,1782.225,4.0,445.55625,1727.825,isolet,250,pilot_neyman_total_budget,1000,True,25,12,45.77742099761963,0.27244757901185,14.00190486907959,12,5,70,2,0.4577682079999992,0.7662370858779246,0.5231985130094778,0.7943074143626565,True,0.1339413399180504,1.334310474999878,1.7452633687635126,1.122710739417654,0.5
MECH,full,radius_first,2,16.506187152862548,6,3.8147850831349692,1.0,0.25,0.6951883590283849,0.9965171823822153,0.8083581956827143,0.5196459965504294,0.0034828176177846776,0.9997568838883716,0.0015199027155653963,0.0002431155897488282,-0.028198272089870646,0.24941431446345338,1.5161631789326449,1782.225,169.85,1.6642051749999442,1.2988177000001766,0.3634603500000111,0.03508529199999977,1782.225,1800.0,1800.0,1782.225,1782.225,6.0,297.0375,1670.275,isolet,170,pilot_neyman_total_budget,1000,True,25,12,45.77742099761963,0.27244757901185,14.00190486907959,12,5,70,2,0.49914495900000055,0.7505856855365466,0.4703125333326946,0.7804105462072204,True,0.1339413399180504,1.334310474999878,1.8621160174749114,1.2472398337426651,0.34
MECH,full,radius_first,2,16.506187152862548,8,3.8147850831349692,1.0,0.25,0.6951883590283849,0.9965171823822153,0.8083581956827143,0.5196459965504294,0.0034828176177846776,0.9997568838883716,0.0015199027155653963,0.0002431155897488282,-0.08661622933545213,0.29774588280050596,1.5161631789326449,1782.225,120.0,1.8018333000001885,1.462659300000091,0.3363093500001746,0.03508529199999977,1782.225,1800.0,1800.0,1782.225,1782.225,8.0,222.778125,1636.325,isolet,120,pilot_neyman_total_budget,1000,True,25,12,45.77742099761963,0.27244757901185,14.00190486907959,12,5,70,2,0.536119750000001,0.702254117199494,0.426507902768706,0.7494477205654425,True,0.1339413399180504,1.334310474999878,2.2229573258164836,1.3503853366663807,0.24
MECH,full,radius_first,2,16.506187152862548,10,3.8147850831349692,1.0,0.25,0.6951883590283849,0.9965171823822153,0.8083581956827143,0.5196459965504294,0.0034828176177846776,0.9997568838883716,0.0015199027155653963,0.0002431155897488282,-0.046355572362998684,0.3421767600616895,1.5161631789326449,1782.225,100.0,2.0003999750002777,1.6654927000001152,0.3293469000001714,0.03508529199999977,1782.225,1800.0,1800.0,1782.225,1782.225,10.0,178.2225,1607.65,isolet,100,pilot_neyman_total_budget,1000,True,25,12,45.77742099761963,0.27244757901185,14.00190486907959,12,5,70,2,0.5900332500000012,0.6578232399383105,0.36330759512313526,0.7186907073072345,True,0.1339413399180504,1.334310474999878,2.5546762505963,1.499201282220662,0.2
MECH,full,radius_first,2,16.506187152862548,12,3.8147850831349692,1.0,0.25,0.6951883590283849,0.9965171823822153,0.8083581956827143,0.5196459965504294,0.0034828176177846776,0.9997568838883716,0.0015199027155653963,0.0002431155897488282,0.056403591803401834,0.4523165811508852,1.5161631789326449,1782.225,80.0,2.2941885500003423,1.947086350000049,0.3521896499998789,0.03508529199999977,1782.225,1800.0,1800.0,1782.225,1782.225,12.0,148.51875,1579.775,isolet,80,pilot_neyman_total_budget,1000,True,25,12,45.77742099761963,0.27244757901185,14.00190486907959,12,5,70,2,0.6758008750000002,0.5476834188491149,0.2697998183385888,0.6487630280297222,True,0.1339413399180504,1.334310474999878,3.3769751850147753,1.7193813531296396,0.16
