dataset,L,K,point_precision,point_recall,point_f1,candidate_size,exact_r25_candidate_size,candidate_to_true_ratio,candidate_expansion_ratio,query_time_ms,mean_hamming_threshold
amazon,20,48,0.25093152866242036,0.9998730964467004,0.40118125234827406,784.975,197.0,3.9846446700507614,3.9846446700507614,15.202045774998396,27.725
amazon,20,50,0.25095541401273885,1.0,0.4012219959263595,785.0,197.0,3.9847715736040614,3.9847715736040614,15.511490625010538,31.44375
amazon,20,52,0.25093152866242036,0.9998730964467004,0.40118125234827406,784.975,197.0,3.9846446700507614,3.9846446700507614,15.862272974996472,30.95625
amazon,20,54,0.25085968934790753,0.999492385786802,0.4010587719087383,784.9,197.0,3.984263959390863,3.984263959390863,15.997018725011005,30.6375
amazon,20,56,0.2506749047869197,0.9984771573604061,0.400740701931678,784.675,197.0,3.9831218274111677,3.9831218274111677,16.15779585000041,30.61875
amazon,20,58,0.25011483925578426,0.9953045685279187,0.39976919725926874,783.925,197.0,3.979314720812183,3.979314720812183,16.35424057500643,30.825
amazon,20,60,0.24890044666192973,0.9884517766497461,0.39766230081815124,782.25,197.0,3.970812182741117,3.970812182741117,16.671659500008218,30.9875
amazon,20,62,0.24702361026456082,0.9775380710659898,0.3943764188564931,779.275,197.0,3.9557106598984775,3.9557106598984775,16.78168757499634,31.19375
amazon,20,64,0.2439991206489256,0.9602791878172589,0.3891000661001264,774.5,197.0,3.931472081218274,3.931472081218274,17.217734374997917,31.44375
amazon,20,66,0.2417854374919995,0.9463197969543146,0.385120985031865,769.75,197.0,3.90736040609137,3.90736040609137,17.245616774997075,31.775
amazon,20,68,0.23869860012303085,0.9263959390862944,0.3795201993526288,762.375,197.0,3.86992385786802,3.86992385786802,17.452363600014564,32.05625
amazon,20,70,0.23675801837638383,0.9105329949238579,0.37569694282127614,754.7,197.0,3.8309644670050766,3.8309644670050766,17.550044824989186,32.3625
amazon,20,72,0.23301007008986613,0.8843908629441625,0.36866432867944954,742.9,197.0,3.771065989847716,3.771065989847716,17.63965212500125,32.68125
amazon,20,74,0.23015936343248605,0.8574873096446701,0.3626785339229817,727.9,197.0,3.6949238578680204,3.6949238578680204,18.273023849997116,33.0125
amazon,20,76,0.2271355148777543,0.8332487309644669,0.35664817504248114,714.75,197.0,3.628172588832487,3.628172588832487,18.689289674998122,33.36875
amazon,20,78,0.22479905119650648,0.7634517766497462,0.3467242805633633,656.625,197.0,3.333121827411168,3.333121827411168,23.2152718249921,32.6875
amazon,20,80,0.22218560788303227,0.7248730964467005,0.3394080403061161,627.975,197.0,3.1876903553299494,3.1876903553299494,20.820840575009925,33.03125
amazon,20,82,0.2219621718852105,0.6942893401015228,0.3355335570178909,598.925,197.0,3.040228426395939,3.040228426395939,24.591609424996363,33.3375
amazon,20,84,0.22370855181540347,0.665736040609137,0.3339411639346465,569.075,197.0,2.8887055837563453,2.8887055837563453,23.020442699987598,33.70625
amazon,20,86,0.22016014392317906,0.6281725888324873,0.32468794459561323,539.225,197.0,2.7371827411167513,2.7371827411167513,21.909022950001145,34.0625
amazon,20,88,0.22232118870977047,0.5944162436548224,0.3222753781546354,501.875,197.0,2.5475888324873095,2.5475888324873095,22.610402124999496,34.34375
amazon,20,90,0.22865471278579666,0.5057106598984771,0.3119966173651559,406.375,197.0,2.062817258883249,2.062817258883249,22.84316769999748,33.7
