dataset,L,K,radius_mode,radius_percentile,bandwidth_factor,delta,angle_alpha,sphere_layer_rule,theta_rule,norm_filter_rule,hamming_threshold_rule,lookup_rule,point_precision,point_recall,point_f1,kernel_weighted_recall,kde_abs_relative_error_vs_exact_r25,kde_abs_relative_error_vs_global,candidate_size,exact_r25_candidate_size,candidate_expansion_ratio,mean_hamming_threshold,mean_theta_deg,query_time_ms,build_time_s,candidate_to_true_ratio,kde_quality,speed_quality,ratio_quality,score_precision_recall_ratio,feasible
amazon,20,42,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.24950342076971116,0.991751269035533,0.39870016111837336,0.9876848835329064,0.03903692455471355,0.011095682965661515,783.0,197.0,3.974619289340102,21.39375,50.32802359873031,14.010210474987161,119.190086791,3.974619289340102,0.9609630754452865,0.5611827419544013,0.002547770700637053,0.4781726430105255,False
amazon,20,44,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.24947685020839838,0.991751269035533,0.39866590583193917,0.9893267601105453,0.040659422051358515,0.009568924633197607,783.075,197.0,3.975,22.6,50.32802359873031,14.299707325002942,119.190086791,3.975,0.9593405779486415,0.5521153397077638,0.0024522292993631734,0.47769108676748606,False
amazon,20,46,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.2507880332969521,0.998984771573604,0.40092628502052924,0.9989707854506344,0.05042597902681648,0.0009353517183826095,784.725,197.0,3.983375634517767,25.0125,50.32802359873031,15.073277075018154,119.190086791,3.983375634517767,0.9495740209731836,0.5278861707588223,0.0003503184713375962,0.4791967413598991,False
amazon,20,48,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.25093152866242036,0.9998730964467004,0.40118125234827406,0.9999079487737582,0.05139836410737171,8.159801603195861e-05,784.975,197.0,3.9846446700507614,27.725,50.32802359873031,15.202045774998396,119.190086791,3.9846446700507614,0.9486016358926282,0.5238529745446534,3.184713375814496e-05,0.4793104280397845,False
amazon,20,50,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.25095541401273885,1.0,0.4012219959263595,0.9999999978489328,0.05149041318254648,0.0,785.0,197.0,3.9847715736040614,31.44375,50.32802359873031,15.511490625010538,119.190086791,3.9847715736040614,0.9485095868174536,0.5141607760697562,0.0,0.47887459088089834,False
amazon,20,52,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.25093152866242036,0.9998730964467004,0.40118125234827406,0.9999079487737582,0.05139836410737171,8.159801603195861e-05,784.975,197.0,3.9846446700507614,30.95625,50.32802359873031,15.862272974996472,119.190086791,3.9846446700507614,0.9486016358926282,0.5031738355618721,3.184713375814496e-05,0.47827647109064547,False
amazon,20,54,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.25085968934790753,0.999492385786802,0.4010587719087383,0.9994882527466116,0.05097866808022522,0.0004405317941576451,784.9,197.0,3.984263959390863,30.6375,50.32802359873031,15.997018725011005,119.190086791,3.984263959390863,0.9490213319197748,0.4989534306892801,0.00012738853503191372,0.47791899933970294,False
amazon,20,56,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.2506749047869197,0.9984771573604061,0.400740701931678,0.9981162790265596,0.04958488126064955,0.001643221604600625,784.675,197.0,3.9831218274111677,30.61875,50.32802359873031,16.15779585000041,119.190086791,3.9831218274111677,0.9504151187393505,0.4939176907002012,0.00041401273885355305,0.4772845470218141,False
amazon,20,58,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.25011483925578426,0.9953045685279187,0.39976919725926874,0.9934166044458259,0.04482603560353465,0.00594176962633259,783.925,197.0,3.979314720812183,30.825,50.32802359873031,16.35424057500643,119.190086791,3.979314720812183,0.9551739643964654,0.4877647970132317,0.0013694267515924619,0.47579925351249064,False
amazon,20,60,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.24890044666192973,0.9884517766497461,0.39766230081815124,0.981273445941836,0.03282698408430032,0.016803341730804507,782.25,197.0,3.970812182741117,30.9875,50.32802359873031,16.671659500008218,119.190086791,3.970812182741117,0.9671730159156997,0.4778228405686984,0.003503184713375851,0.47276132161404444,False
amazon,20,62,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.24702361026456082,0.9775380710659898,0.3943764188564931,0.9664700413026601,0.034174925761342304,0.03037516668820901,779.275,197.0,3.9557106598984775,31.19375,50.32802359873031,16.78168757499634,119.190086791,3.9557106598984775,0.9658250742386577,0.4743766240924704,0.007292993630573341,0.4686202975000911,False
amazon,20,64,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.2439991206489256,0.9602791878172589,0.3891000661001264,0.9406151358696441,0.04568905053158452,0.053740654916209676,774.5,197.0,3.931472081218274,31.44375,50.32802359873031,17.217734374997917,119.190086791,3.931472081218274,0.9543109494684154,0.46071909471431693,0.013375796178344057,0.4616281346051406,False
